State,Division,Region,Branch,Route Code,Village Name,pincode,Center Name,Group Name,Name,Loan nature,Employee Name for clinet,Existing Loan amount ,Loan Date,AGE,ID_DETAILS,ADHAAR NUMBER,Marital_Status,INCOME SOURCE,LoanStatus
Karnataka,KA 02,GOWRIBIDANUR,Gowribidanur,KGAWGAWD,Ramachandrapura,504273,Ramachandrapura,Rama,Vadand Geetaben,1,Valluru Vinod Kumar,182050,17-08-2013,31,348IL/19,8.23E+15,Married,BUSINESS,NO
Karnataka,KA 02,VIJAYAPURAM,Vijaypura-2,KVIJVIBC,sadapana halli,504293,sadapanahalli new,sumithra 1,Co Patel Manjulaben,1,Prasanth,13325,19-06-2014,33,441OM-90,5.55E+15,Married,AGRICULTURE,YES
Karnataka,KA 01,VIJAYAPURAM,Vijaypura-2,KVIJVIBC,yanagante,504307,yanagante,lakshmamma,Ghanchi Aminabibi,1,Prasanth,112780,30-06-2013,38,658YR/69,3.99E+15,Married,AGRICULTURE,YES
Karnataka,KA 02,VIJAYAPURAM,Vijaypura-2,KVIJVIBC,yanagante,504001,yanagante,fincare,Ghanchi Farajanabanu,1,Prasanth,64290,16-05-2013,43,601YD-90,4.35E+15,Married,DAIRY,NA
Karnataka,KA 02,VIJAYAPURAM,Vijaypura-2,KVIJVIBC,sathyavara,504001,sathyavara,saibaba,Ghanchee Shabanabanu,1,Prasanth,43947,31-05-2014,40,390NV/51,5.11E+15,Married,OTHER,YES
Karnataka,KA 02,VIJAYAPURAM,Vijaypura-2,KVIJVIBC,sathyavara,504001,sathyavara,preema,Saiyad Hamidabibi,1,Prasanth,12025,23-08-2013,19,557VI-41,2.03E+15,Married,OTHER,YES
Karnataka,KA 02,NELAMANGALA,Nelamangala,KNELNELC,Baraganahalli,504273,Baraganahalli,Bhavani,Malek Parvinbanu,1,Bashkar,85392,15-12-2014,28,665DT/40,9.21E+15,Married,AGRICULTURE,NO
Karnataka,KA 02,NELAMANGALA,Nelamangala,KNELNELC,Baraganahalli,504273,Baraganahalli,Basavanna,Fakir Kheranaben,1,Bashkar,137631,26-06-2013,41,635RX-88,5.15E+15,Married,DAIRY,NO
Karnataka,KA 02,NELAMANGALA,Nelamangala,KNELNELC,Sompura N,504309,Huchaveerayanapalya,Sri Lakshmi,Sharma Minaben,1,Bashkar,100147,19-06-2013,45,419VJ/88,1.64E+15,Married,AGRICULTURE,YES
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLB,Majara  Dinnur,504201,Majarechaladinnur,Ganga3,AOD Shushilaben,1,Nukula Tejassriram,80731,15-10-2013,23,618DS-59,5.22E+15,Married,AGRICULTURE,YES
